,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
0,Lenovo,A6-9225,AMD,A6-9225 Processor,10,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,Missing,0,No,No,24990,32790,23,3.7,63,12
1,Lenovo,Ideapad,AMD,APU Dual,10,4,DDR4,0,512,Windows,64-bit,0,Casual,Missing,0,No,No,19590,21325,8,3.6,1894,256
2,Avita,PURA,AMD,APU Dual,10,4,DDR4,128,0,Windows,64-bit,0,ThinNlight,Missing,0,No,No,19990,27990,28,3.7,1153,159
3,Avita,PURA,AMD,APU Dual,10,4,DDR4,128,0,Windows,64-bit,0,ThinNlight,Missing,0,No,No,21490,27990,23,3.7,1153,159
4,Avita,PURA,AMD,APU Dual,10,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,Missing,0,No,No,24990,33490,25,3.7,1657,234
5,Avita,PURA,AMD,APU Dual,10,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,0,No,No,24990,33490,25,3.7,1657,234
6,HP,APU,AMD,APU Dual,10,4,DDR4,0,1024,Windows,32-bit,0,Casual,14,0,No,No,20900,22825,8,3.9,1185,141
7,Lenovo,APU,AMD,APU Dual,10,4,DDR4,0,1024,Windows,64-bit,0,Casual,Missing,0,No,No,21896,0,0,3.9,219,18
8,HP,Athlon,AMD,Athlon Dual,10,32,DDR4,32,0,Windows,32-bit,4,Casual,14,0,No,No,26899,27668,2,0.0,0,0
9,acer,Aspire,AMD,Athlon Dual,10,4,DDR4,256,0,Windows,64-bit,0,Casual,Missing,1,No,No,31990,36990,13,4.2,76,13
10,ASUS,ExpertBook,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,Casual,15.6,0,No,No,34649,41990,17,2.3,3,0
11,Lenovo,Missing,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,Casual,Missing,0,No,No,38999,42705,8,3.8,65,5
12,Lenovo,v15,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,Casual,15.6,0,No,No,39999,43999,9,3.1,8,1
13,ASUS,ExpertBook,Intel,Core i5,10,8,DDR4,512,0,Windows,32-bit,2,Casual,Missing,0,No,No,69990,0,0,0.0,0,0
14,ASUS,VivoBook,Intel,Celeron Dual,0,4,DDR4,0,512,Windows,64-bit,0,Casual,Missing,0,No,No,26990,28990,6,0.0,0,0
15,ASUS,EeeBook,Intel,Celeron Dual,0,4,DDR4,0,512,Windows,64-bit,0,Casual,Missing,0,No,No,22990,27990,17,0.0,0,0
16,ASUS,EeeBook,Intel,Celeron Dual,0,4,DDR4,0,512,Windows,32-bit,0,Casual,Missing,0,No,No,21990,25990,15,3.5,31,3
17,ASUS,ExpertBook,Intel,Core i5,10,8,DDR4,0,1024,Windows,32-bit,2,Casual,14,0,No,No,58799,77990,24,0.0,0,0
18,Lenovo,Missing,Intel,Core i5,10,4,DDR4,0,1024,Windows,32-bit,0,Casual,14,0,No,No,49999,59000,15,0.0,0,0
19,acer,Aspire,AMD,Ryzen,10,4,DDR4,0,512,Windows,32-bit,4,Casual,Missing,0,No,No,54990,89000,38,4.5,3190,414
20,acer,Nitro,AMD,Ryzen 5,10,4,DDR4,0,512,Windows,32-bit,4,Casual,Missing,0,No,No,59990,99999,40,4.5,1946,240
21,acer,Nitro,AMD,Ryzen 5,10,4,DDR4,0,512,Windows,32-bit,6,Casual,Missing,0,No,No,93700,139000,32,4.5,259,47
22,acer,Nitro,AMD,Ryzen 5,10,4,DDR4,0,512,Windows,32-bit,4,Casual,Missing,0,No,No,72990,99999,27,4.5,425,67
23,Avita,Cosmos,Intel,Celeron Dual,0,4,DDR4,0,512,Windows,64-bit,0,Casual,Missing,0,No,No,17490,23490,25,3.6,1120,196
24,ASUS,ExpertBook,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,Casual,Missing,0,No,No,35990,42990,16,0.0,0,0
25,HP,x360,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,14,1,Yes,No,56490,64923,12,0.0,0,0
26,HP,x360,Intel,Core i5,11,8,DDR4,256,0,Windows,64-bit,0,Casual,14,1,No,No,65390,76436,14,0.0,0,0
27,Lenovo,IdeaPad,Intel,Celeron Dual,0,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,0,No,No,31999,38999,17,4.0,286,19
28,HP,Celeron,Intel,Celeron Dual,0,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,0,No,No,32490,39288,17,4.0,58,6
29,Lenovo,IdeaPad,Intel,Celeron Dual,0,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,Missing,0,No,No,31799,36999,14,0.0,0,0
30,ASUS,VivoBook,Intel,Celeron Dual,0,4,DDR4,256,0,Windows,64-bit,0,Casual,Missing,0,No,No,29890,33990,12,4.0,7,0
31,ASUS,Celeron,Intel,Celeron Dual,0,4,DDR4,0,1024,Windows,64-bit,0,Casual,15.6,1,No,No,23990,26990,11,3.8,15279,1947
32,HP,15q,Intel,Core i3,7,4,DDR4,0,1024,Windows,64-bit,0,Casual,15.6,0,No,No,32955,0,0,4.2,311,27
33,HP,250-G6,Intel,Core i5,7,4,DDR4,0,1024,Windows,32-bit,2,Casual,15.6,0,No,No,46200,0,0,4.2,47,7
34,ASUS,Missing,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,0,No,No,34429,49990,31,4.1,37,6
35,Lenovo,IdeaPad,Intel,Core i3,10,8,DDR4,256,0,Windows,32-bit,0,ThinNlight,15.6,2,No,Yes,37990,57990,34,4.3,2080,235
36,ASUS,VivoBook,Intel,Core i3,11,4,DDR4,256,0,Windows,32-bit,0,Casual,15.6,1,No,Yes,35990,49990,28,4.3,1479,181
37,ASUS,VivoBook,Intel,Core i3,10,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,0,No,No,33980,46990,27,4.4,67,3
38,HP,Missing,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,1,No,Yes,39990,50085,20,4.2,273,30
39,DELL,Vostro,Intel,Core i3,10,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,1,No,Yes,39490,43312,8,4.3,1267,171
40,RedmiBook,15,Intel,Core i3,11,8,DDR4,256,0,Windows,32-bit,0,ThinNlight,15.6,1,No,No,38990,51999,25,4.3,1063,152
41,HP,Pavilion,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,14,1,Yes,Yes,53990,63510,14,4.6,14,0
42,acer,Aspire,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,1,No,No,38990,52999,26,0.0,0,0
43,realme,Book,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,1,No,Yes,46990,54999,14,4.4,6352,1014
44,ASUS,Missing,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,1,No,No,37990,52990,28,4.3,284,39
45,ASUS,VivoBook,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,14,1,No,Yes,37890,51990,27,4.6,44,5
46,Lenovo,IdeaPad,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,1,No,No,38990,60890,35,4.2,33,4
47,Lenovo,IdeaPad,Intel,Core i3,10,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,0,No,No,37990,57990,34,4.2,286,36
48,DELL,Vostro,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14.96,1,No,Yes,41990,54510,22,3.6,10,5
49,ASUS,VivoBook,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,15.6,1,No,No,45990,58990,22,4.5,816,147
50,Lenovo,IdeaPad,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,1,No,No,39990,61590,35,4.3,543,65
51,DELL,Inspiron,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,0,No,No,42490,59654,28,4.8,9,1
52,Infinix,INBook,Intel,Core i3,10,8,LPDDR4X,256,0,Windows,64-bit,0,ThinNlight,14,0,No,No,32990,49999,34,4.3,1221,265
53,DELL,Vostro,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,1,No,Yes,36990,40614,8,4.3,1178,137
54,Lenovo,Ideapad,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,14,1,Yes,Yes,53990,75490,28,4.4,299,41
55,ASUS,VivoBook,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,0,No,No,36990,52990,30,4.4,20,1
56,Lenovo,IdeaPad,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,2,No,No,38940,48200,19,4.3,758,64
57,DELL,Inspiron,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,Casual,15,1,No,Yes,39490,55490,28,4.4,634,64
58,Lenovo,Ideapad,Intel,Core i3,10,8,DDR4,256,0,Windows,64-bit,0,Casual,15.6,2,No,Yes,39999,59999,33,5.0,4,0
59,DELL,Inspiron,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,1,No,No,42990,56776,24,4.3,17,2
60,DELL,Inspiron,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,14,1,Yes,No,49990,68658,27,4.2,24,5
61,DELL,Vostro,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,1,No,Yes,41490,55448,25,4.3,1753,165
62,DELL,Inspiron,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14.96,0,No,No,41990,57670,27,4.2,216,21
63,Lenovo,Ideapad,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,1,No,Yes,41990,57290,26,4.4,1084,160
64,ASUS,VivoBook,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,15.6,1,No,No,38490,51990,25,3.8,19,3
65,Lenovo,Missing,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15,1,No,Yes,38990,51544,24,4.4,106,13
66,Lenovo,ThinkPad,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,1,No,Yes,44990,59239,24,4.1,42,4
67,Lenovo,IdeaPad,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,0,No,No,36490,53790,32,0.0,0,0
68,Lenovo,Missing,Intel,Core i3,10,8,DDR4,256,0,Windows,32-bit,0,Casual,15.6,0,No,No,38970,56590,31,0.0,0,0
69,HP,Missing,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,44900,51000,11,4.2,1029,107
70,MSI,Missing,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,Missing,0,No,No,38990,53900,27,4.5,53,11
71,DELL,Vostro,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,Missing,0,No,No,44427,0,0,0.0,0,0
72,ASUS,VivoBook,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,Casual,Missing,1,No,No,35990,46990,23,0.0,0,0
73,Lenovo,Ideapad,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,Casual,Missing,1,No,Yes,40200,49999,19,3.9,48,1
74,Lenovo,Missing,Intel,Core i3,10,4,DDR4,256,0,Windows,32-bit,0,Casual,Missing,0,No,No,40990,56800,27,3.7,3,0
75,DELL,Inspiron,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,Missing,1,No,No,42490,54723,22,0.0,0,0
76,realme,Book,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,47999,54999,12,4.4,6352,1014
77,acer,Chromebook,Intel,Celeron Dual,0,4,DDR4,0,512,Windows,32-bit,0,Casual,Missing,0,No,No,23990,27000,11,3.3,61,4
78,DELL,Missing,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,Casual,Missing,0,Yes,No,71999,72246,0,4.3,97,13
79,ASUS,VivoBook,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,Casual,Missing,1,No,No,39990,52990,24,4.4,181,19
80,Lenovo,IdeaPad,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,Casual,Missing,1,No,Yes,41998,56590,25,4.4,529,39
